O*NET-SOC,Career_Title,Short_Description,Attributes,Job_Zone
13-2011.00,Accountants and Auditors,,Accountants and Auditors|Accountants|and|Auditors,
27-2011.00,Actors,,Actors|Actors,
15-2011.00,Actuaries,,Actuaries|Actuaries,
29-1291.00,Acupuncturists,,Acupuncturists|Acupuncturists,
29-1141.01,Acute Care Nurses,,Acute Care Nurses|Acute|Care|Nurses,
25-2059.01,Adapted Physical Education Specialists,,Adapted Physical Education Specialists|Adapted|Physical|Education|Specialists,
51-9191.00,Adhesive Bonding Machine Operators and Tenders,,Adhesive Bonding Machine Operators and Tenders|Adhesive|Bonding|Machine|Operators|and,
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",,"Administrative Law Judges, Adjudicators, and Hearing Officers|Administrative|Law|Judges,|Adjudicators,|and",
11-3012.00,Administrative Services Managers,,Administrative Services Managers|Administrative|Services|Managers,
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors|Adult|Basic|Education,|Adult|Secondary",
29-1141.02,Advanced Practice Psychiatric Nurses,,Advanced Practice Psychiatric Nurses|Advanced|Practice|Psychiatric|Nurses,
11-2011.00,Advertising and Promotions Managers,,Advertising and Promotions Managers|Advertising|and|Promotions|Managers,
41-3011.00,Advertising Sales Agents,,Advertising Sales Agents|Advertising|Sales|Agents,
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,,Aerospace Engineering and Operations Technologists and Technicians|Aerospace|Engineering|and|Operations|Technologists,
17-2011.00,Aerospace Engineers,,Aerospace Engineers|Aerospace|Engineers,
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",,"Agents and Business Managers of Artists, Performers, and Athletes|Agents|and|Business|Managers|Artists,",
17-2021.00,Agricultural Engineers,,Agricultural Engineers|Agricultural|Engineers,
45-2091.00,Agricultural Equipment Operators,,Agricultural Equipment Operators|Agricultural|Equipment|Operators,
45-2011.00,Agricultural Inspectors,,Agricultural Inspectors|Agricultural|Inspectors,
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",,"Agricultural Sciences Teachers, Postsecondary|Agricultural|Sciences|Teachers,|Postsecondary",
19-4012.00,Agricultural Technicians,,Agricultural Technicians|Agricultural|Technicians,
45-2099.00,"Agricultural Workers, All Other",,"Agricultural Workers, All Other|Agricultural|Workers,|All|Other",
55-3011.00,Air Crew Members,,Air Crew Members|Air|Crew|Members,
55-1011.00,Air Crew Officers,,Air Crew Officers|Air|Crew|Officers,
